epoch,step,train_loss,val_accuracy_fire,val_accuracy_smoke,val_f1_fire,val_f1_smoke,val_loss,val_loss_fire,val_loss_smoke,val_precision_fire,val_precision_smoke,val_recall_fire,val_recall_smoke
10,2958,45.524261474609375,,,,,,,,,,,
11,3227,,0.9274719953536987,0.738106369972229,0.3748365342617035,0.36973586678504944,38.61237716674805,12.224204063415527,26.388174057006836,0.3945958912372589,0.4645252823829651,0.366902619600296,0.3585623502731323
11,3227,44.66874694824219,,,,,,,,,,,
12,3496,,0.9321361780166626,0.7756530046463013,0.3873840868473053,0.432547926902771,37.442283630371094,12.153032302856445,25.289243698120117,0.40753448009490967,0.5088470578193665,0.38096359372138977,0.4333856999874115
12,3496,43.29092025756836,,,,,,,,,,,
13,3765,,0.9274719953536987,0.7413712739944458,0.352507621049881,0.3556744158267975,38.18765640258789,12.803872108459473,25.3837890625,0.43029531836509705,0.4906100928783417,0.31792858242988586,0.3265075385570526
13,3765,42.91313171386719,,,,,,,,,,,
14,4034,,0.9298040866851807,0.8092350959777832,0.39710408449172974,0.4899204969406128,35.63188171386719,11.226883888244629,24.405004501342773,0.40077871084213257,0.5070395469665527,0.40068143606185913,0.5371749997138977
14,4034,42.4013786315918,,,,,,,,,,,
15,4303,,0.936333954334259,0.7917444109916687,0.380828320980072,0.4742662310600281,35.03843688964844,10.911406517028809,24.12704086303711,0.3952934145927429,0.510735809803009,0.37677615880966187,0.512422502040863
15,4303,41.202693939208984,,,,,,,,,,,
16,4572,,0.9409981369972229,0.8078358173370361,0.3831493854522705,0.47408580780029297,33.96233367919922,10.568206787109375,23.39411735534668,0.40782812237739563,0.5142417550086975,0.37333944439888,0.4896954298019409
16,4572,40.76433181762695,,,,,,,,,,,
17,4841,,0.9398320913314819,0.7882462739944458,0.37532928586006165,0.4418282210826874,34.06142807006836,11.103981018066406,22.957448959350586,0.4054113030433655,0.5362173914909363,0.3582846224308014,0.4283933937549591
17,4841,39.8679084777832,,,,,,,,,,,
18,5110,,0.9379664063453674,0.8085354566574097,0.38744354248046875,0.46135416626930237,32.748538970947266,10.43871021270752,22.30983543395996,0.4295128285884857,0.5176203846931458,0.3640623092651367,0.4598367512226105
18,5110,39.59251022338867,,,,,,,,,,,
19,5379,,0.9435634613037109,0.8111007213592529,0.39350882172584534,0.4651472568511963,31.658058166503906,9.945547103881836,21.712509155273438,0.400638222694397,0.5336371660232544,0.3945712745189667,0.45751136541366577
19,5379,39.1925163269043,,,,,,,,,,,
20,5648,,0.9472947716712952,0.7660914063453674,0.3922332525253296,0.3801177740097046,32.141639709472656,9.570595741271973,22.571043014526367,0.41340184211730957,0.5244360566139221,0.38120609521865845,0.3389717638492584
20,5648,38.753868103027344,,,,,,,,,,,
21,5917,,0.9347015023231506,0.8171641826629639,0.3844182789325714,0.48239991068840027,31.940454483032227,10.350658416748047,21.58979606628418,0.38647279143333435,0.5245142579078674,0.38933247327804565,0.5037537813186646
21,5917,38.520545959472656,,,,,,,,,,,
22,6186,,0.9419309496879578,0.8220615386962891,0.38898319005966187,0.49177396297454834,31.24881935119629,9.63794994354248,21.61086654663086,0.43068063259124756,0.5148212313652039,0.370577335357666,0.5281174778938293
22,6186,37.73827362060547,,,,,,,,,,,
23,6455,,0.9479944109916687,0.8246268630027771,0.40091672539711,0.47523701190948486,29.853824615478516,9.478408813476562,20.37541389465332,0.4168609082698822,0.5282806158065796,0.39650845527648926,0.4859349727630615
23,6455,37.14628219604492,,,,,,,,,,,
24,6724,,0.9398320913314819,0.8211287260055542,0.36855629086494446,0.47284314036369324,30.797855377197266,10.340046882629395,20.457807540893555,0.4355771839618683,0.5395823121070862,0.3433493971824646,0.45058220624923706
